@relation 'Desercion_Academica-weka.filters.AllFilter-weka.filters.unsupervised.attribute.Remove-R1-3,10-12'

@attribute Edad numeric
@attribute Semestre numeric
@attribute AsignaturasCursadas numeric
@attribute AsignaturasAprobadas numeric
@attribute CreditosCursados numeric
@attribute CreditosAprobados numeric
@attribute Estado {GRADUADO,DESERTOR,ACTIVO}

@data
28,5,37,26,118,85,ACTIVO
25,3,19,15,64,50,ACTIVO
25,5,31,28,104,94,ACTIVO
25,8,56,56,161,161,GRADUADO
27,8,54,49,167,153,GRADUADO
27,8,54,49,167,153,GRADUADO
28,3,6,0,18,0,DESERTOR
25,7,54,49,171,156,ACTIVO
27,1,5,0,17,0,ACTIVO
28,3,5,5,17,17,ACTIVO
25,2,16,11,53,36,ACTIVO
29,9,48,40,131,109,GRADUADO
29,10,39,32,39,32,GRADUADO
30,10,23,23,23,23,GRADUADO
32,8,61,59,166,161,GRADUADO
32,8,61,59,166,161,GRADUADO
38,10,27,27,27,27,GRADUADO
38,10,27,27,27,27,GRADUADO
35,4,4,2,14,8,ACTIVO
41,4,18,18,52,49,ACTIVO
48,10,62,60,171,167,ACTIVO
48,2,11,11,33,33,GRADUADO
48,2,11,11,33,33,GRADUADO
44,10,22,22,22,22,GRADUADO
31,1,5,3,17,10,DESERTOR
39,10,17,17,17,17,GRADUADO
25,4,27,24,89,80,ACTIVO
36,4,6,6,15,15,DESERTOR
33,10,12,12,12,12,GRADUADO
44,10,9,9,9,9,GRADUADO
35,9,56,54,150,143,GRADUADO
44,10,1,0,1,0,ACTIVO
32,10,18,18,19,19,GRADUADO
38,8,51,49,167,160,ACTIVO
31,2,6,4,18,12,DESERTOR
26,9,59,59,161,161,GRADUADO
26,9,59,59,161,161,GRADUADO
26,7,63,50,190,150,ACTIVO
28,1,12,6,38,19,DESERTOR
23,3,4,4,14,14,ACTIVO
20,5,28,28,93,93,ACTIVO
27,1,10,7,29,20,DESERTOR
12,10,29,29,29,29,GRADUADO
25,1,6,1,18,3,DESERTOR
31,7,59,44,168,122,ACTIVO
27,10,57,54,157,152,ACTIVO
23,5,19,19,64,64,ACTIVO
28,9,58,58,148,148,GRADUADO
41,8,41,40,110,108,GRADUADO
22,5,33,29,108,95,ACTIVO
26,2,20,11,56,32,DESERTOR
27,2,12,7,33,20,DESERTOR
24,3,20,18,67,60,ACTIVO
27,3,20,11,59,30,DESERTOR
22,3,21,19,71,65,ACTIVO
23,2,15,14,48,45,ACTIVO
27,1,5,2,15,6,DESERTOR
30,1,6,6,18,18,DESERTOR
30,1,6,3,18,9,DESERTOR
26,4,36,26,99,71,DESERTOR
34,2,13,13,36,36,DESERTOR
26,8,78,60,209,167,GRADUADO
29,9,63,61,174,168,GRADUADO
29,9,63,61,174,168,GRADUADO
27,6,20,19,66,62,ACTIVO
29,3,24,15,66,41,DESERTOR
23,5,21,21,70,70,ACTIVO
